,Partial,Complete
0,"In a dark basement, there is a white","In a dark basement, there is a white frisbee with a big bag. The basket is full of yummy food and drinks are waiting. It feels like a fun party!<pad>"
1,"In a shiny bathroom, the walls sparkle like","In a shiny bathroom, the walls sparkle like the sky. There’s a big mirror that makes me smile. The walls are soft and white, making it feel cozy!<pad>"
2,"There is a big table full of yummy,",There is a big table full of yummy food! There are colorful fruits and vegetables on top. It looks like a fun party for my tummy!<pad>
3,"Pink cakes and lollipops rest on white tables,",Pink cakes and lollipops rest on white tables. They are all different shapes and sizes. It’s like a tiny adventure is waiting to be eaten!<pad>
4,"The cake is so colorful with chocolate and,",The cake is so colorful with chocolate and shiny candles. There are so many cans and a big candle on top. It looks like a fun party!<pad>
5,"In a funny bathroom, there are two shiny","In a funny bathroom, there are two shiny toilets! They are ready to help kids need to eat yummy food. It’s like a special place for books!<pad>"
6,"In a happy green bathroom, there are funny","In a happy green bathroom, there are funny toilets! They are all different colors and shapes. It looks like a secret place for girls!<pad>"
7,"The bathroom has a white toilet and a,",The bathroom has a white toilet and a shiny sink. The walls are bright and full of colorful tiles. There’s also a sink and a toilet too!<pad>
8,"In a shiny bathroom, there is a big","In a shiny bathroom, there is a big tub for splashes and a little mane. The walls are soft and white, making it feel cozy. It’s like a fun place to splash and play!<pad>"
9,"There's a man on a shiny, old motorcycle","There's a man on a shiny, old motorcycle. He wears a cool helmet and smiles big. He looks ready to zoom away!<pad>"
10,"There's a big building with a clock inside,","There's a big building with a clock inside. The clock tells time for everyone. It stands tall in the city, watching over the streets.<pad>"
11,"The green bowl is on the table. It,",The green bowl is on the table. It has yummy beans and bright colors like red anbanas. The broccoli looks so tasty and fun!<pad>
12,"There is a big, yummy cake on a","There is a big, yummy cake on a table! There are shiny chocolate cakes and a shiny fork all over it. It looks like a fun party is about to eat!<pad>"
13,"A big parade is happening! A police motorcycle,","A big parade is happening! A police motorcycle shines in the airplane, and a man is waiting for its turn. The sky is bright and blue!<pad>"
14,"A fluffy cat is on a table. It,",A fluffy cat is on a table. It looks so cozy next to a big TV! The cat is watching the world outside.<pad>
15,"The orange kitty sits on the table beside,",The orange kitty sits on the table beside it. There are shiny candles and a big candle on top. The cabinets look funny and cozy!<pad>
16,"The kitty is very funny. It stands in,","The kitty is very funny. It stands in the woods, like a big fridge and stories. The cabinet is cozy and sleepy, waiting for adventures!<pad>"
17,"The cat is eating its food. It's funny,",The cat is eating its food. It's funny and sitting on the counter. The cat looks so happy and curious!<pad>
18,"A young man is sitting in a small,",A young man is sitting in a small chair. He has a big box of shiny green bags and a picture. He looks happy and ready for a fun time!<pad>
19,"The toilet has a big, round light above","The toilet has a big, round light above it. There are two boxes of shiny buttons all around. A soft tower is nearby, too!<pad>"
20,"In a tiny bathroom, there is a white","In a tiny bathroom, there is a white toilet and a big tub. The toilet is also sitting on a shiny toilet. It feels like a fun place to splash!<pad>"
21,"There are tiny green beads and nuts inside,",There are tiny green beads and nuts inside. They are all together on a big black chair. The bed is cozy and warm!<pad>
22,"A man sits at his desk with a,",A man sits at his desk with a big computer and a little kid. The desk is full of fun things to show the computer donuts!<pad>
23,"The bowl has yummy fruit like apples, bananas,","The bowl has yummy fruit like apples, bananas, and bright oranges. There are also a big brown bananas on the table. It looks like a fun meal!<pad>"
24,"In a big parking lot, two cool motorbikes","In a big parking lot, two cool motorbikes stand tall on the sidewalk. They look like friends waiting for a friend to go on an adventure! The big building stands tall at the bright sky.<pad>"
